,age,Pupil,VA,FixLoss_times,Ca_trial,FixLose_pcnt,FN,FP,MD10_2,PSD,PSD_p,fovea,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,RGC(HFA),RGC(HFA)/9,RGC(OCT),wRGC,wRGC/9,CSFI,CSFI/9,cpRNFL,Disc_Area,gl1,gl2,gl3,gl4,gl5,gl6,gl7,gl8,gl9,gl10,gl11,gl12,gl13,gl14,gl15,gl16,gl17,gl18,gl19,gl20,gl21,gl22,gl23,gl24,gl25,gl26,gl27,gl28,gl29,gl30,gl31,gl32,gl33,gl34,gl35,gl36,gl37,gl38,gl39,gl40,gl41,gl42,gl43,gl44,gl45,gl46,gl47,gl48,gl49,gl50,gl51,gl52,gl53,gl54,gl55,gl56,gl57,gl58,gl59,gl60,gl61,gl62,gl63,gl64,gl65,gl66,gl67,gl68,gc1,gc2,gc3,gc4,gc5,gc6,gc7,gc8,gc9,gc10,gc11,gc12,gc13,gc14,gc15,gc16,gc17,gc18,gc19,gc20,gc21,gc22,gc23,gc24,gc25,gc26,gc27,gc28,gc29,gc30,gc31,gc32,gc33,gc34,gc35,gc36,gc37,gc38,gc39,gc40,gc41,gc42,gc43,gc44,gc45,gc46,gc47,gc48,gc49,gc50,gc51,gc52,gc53,gc54,gc55,gc56,gc57,gc58,gc59,gc60,gc61,gc62,gc63,gc64,gc65,gc66,gc67,gc68,expectedRGCnumber,withinM(D),withinM(M),AVERAGETHICKNESS,SYMMETRY,QUADRANT_T,QUADRANT_S,QUADRANT_N,QUADRANT_I,CLOCKHOUR_1,CLOCKHOUR_2,CLOCKHOUR_3,CLOCKHOUR_4,CLOCKHOUR_5,CLOCKHOUR_6,CLOCKHOUR_7,CLOCKHOUR_8,CLOCKHOUR_9,CLOCKHOUR_10,CLOCKHOUR_11,CLOCKHOUR_12,GC_AVERAGE,GC_MINIMUM,GC_TEMPSUP,GC_SUP,GC_NASSUP,GC_NASINF,GC_INF,GC_TEMPINF,RNFL_AVERAGE,RNFL_MINIMUM,RNFL_TEMPSUP,RNFL_SUP,RNFL_NASSUP,RNFL_NASINF,RNFL_INF,RNFL_TEMPINF,repeated_diseasename,times,repeated,RGC_QUADRANT_I,RGC_QUADRANT_N,RGC_QUADRANT_S,RGC_QUADRANT_T,RGC_CH1,RGC_CH2,RGC_CH3,RGC_CH4,RGC_CH5,RGC_CH6,RGC_CH7,RGC_CH8,RGC_CH9,RGC_CH10,RGC_CH11,RGC_CH12
count,630.0,479.0,611.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,539.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0,630.0
mean,56.8206349206,4.59039665971,1.197299509,0.639682539683,16.9317460317,0.0376880548993,-0.00436507936508,0.0166825396825,-9.60341269375,8.37409524179,0.014879406308,34.1476190476,16.7111111111,15.9301587302,17.1666666667,16.5873015873,16.3396825397,15.9619047619,16.1,15.8111111111,16.7523809524,17.280952381,17.0619047619,16.9555555556,17.4238095238,18.6634920635,18.0857142857,16.5952380952,16.7952380952,17.7238095238,17.9206349206,19.1111111111,22.3492063492,23.7,23.3047619048,22.1873015873,18.0650793651,19.3047619048,19.6936507937,20.9206349206,24.5111111111,28.2682539683,28.7158730159,27.9222222222,26.5142857143,25.1015873016,21.980952381,23.3650793651,25.1365079365,27.7587301587,29.5015873016,30.0841269841,30.1333333333,29.2698412698,28.3523809524,27.5698412698,23.4349206349,25.1047619048,27.1444444444,28.3603174603,29.3126984127,29.3047619048,28.8063492063,28.3936507937,22.5206349206,24.2968253968,25.2444444444,26.3253968254,27.0968253968,28.1111111111,27.4920634921,27.1365079365,22.453968254,23.519047619,23.8507936508,24.8793650794,25.4285714286,25.073015873,22.5746031746,23.3412698413,4275423.36377,475047.040419,507998.311014,1059703.98577,498654.741112,-0.0805827957053,0.493973419198,70.6857142857,1.88741269841,36.0437601447,35.5384423669,36.4209248792,36.2115636692,36.1384532838,35.8693857203,35.8738287639,35.5250888524,36.1471389272,36.8088611204,36.9333645638,37.0331765724,37.4037895466,38.150718224,37.3820428627,36.0432890834,36.3556785637,37.4364730636,38.0670564606,39.5073324592,42.384598019,42.8735193053,41.6785101986,40.0927647963,36.9198497066,38.250294496,39.200320235,41.1152161543,45.7781801667,49.5323004212,48.0418098623,45.7130580594,43.385188921,41.47284505,39.4536280761,41.142205535,43.5082249418,47.191324013,50.764641544,51.3467125763,49.3013187568,46.779669636,44.6943495869,43.069936807,40.957454163,43.0466757592,45.7381236373,47.7258748204,48.5721293968,47.5347717921,45.8602225734,44.394209356,39.9591624884,41.8058301558,43.1528473371,44.4492050017,45.0597741727,45.3317776743,44.0815990853,43.009620528,39.9151049789,41.015760189,41.4881495452,42.2207368608,42.3391969679,41.6459357098,39.8377517527,40.3338259126,16.2749691907,14.6847302886,18.1981632378,20.2788622248,21.8160080953,20.4269257216,19.9829560937,16.4162911404,17.8858910183,23.3861557246,30.7773289795,36.0833719478,36.154152466,34.591362869,25.7826586169,16.990708246,21.1780406069,32.0932082507,52.1534156175,79.012668975,95.0827369276,82.646983607,50.0462350511,31.5232982195,18.3494983014,27.1770090011,43.4792069443,86.7861977104,196.837787105,261.206873848,148.85737429,78.8366700453,44.1844962886,28.490277873,24.5819406958,37.768070208,64.0226847797,135.948046625,272.153023341,302.333202219,166.501658158,87.6072909011,50.4411320162,33.8255816857,34.6876989576,57.1127189371,100.771603708,137.590079072,148.658559901,114.127341728,69.7005514612,46.3834817062,26.8741278965,39.6324406102,54.5912978375,66.0500693629,70.8034720544,61.3600009491,45.0665414822,33.2424596811,26.8500312161,32.3058390544,36.2788956822,37.8592310196,35.7443277523,29.5927489865,23.0791503226,24.2055492364,989862.659132,0.0,0.0,70.6857142857,0.0,56.9095238095,83.9158730159,66.853968254,75.0746031746,83.619047619,72.7428571429,64.1825396825,63.7761904762,74.3158730159,76.4873015873,74.4238095238,54.5650793651,51.7984126984,64.2126984127,87.8095238095,80.3317460317,63.8777777778,53.2111111111,63.8555555556,67.5111111111,69.9412698413,65.2682539683,59.2682539683,57.4873015873,24.580952381,9.3126984127,18.3047619048,28.6158730159,33.0238095238,29.2873015873,22.3095238095,15.8746031746,154.071428571,307.142857143,3.90793650794,138923.996995,114944.441694,153053.873155,102872.017004,49499.4927269,42054.2730535,36685.1410881,36326.8492659,43925.4416065,47596.5978775,47386.2117896,32867.8766925,30350.7110708,39528.9774325,54374.8552163,49170.5502317
std,9.36664682414,0.976433421831,0.367407943617,0.858148945633,1.99684372545,0.0501964105062,0.196780510234,0.0229593720083,9.6550832058,5.38035988667,0.0167124801112,7.29584582767,14.5283792357,14.4290890931,14.525538061,14.6471318436,14.6864043818,14.4621146269,14.6686074498,14.5012757633,14.5199479818,14.4652025545,14.7965850115,14.9111174557,14.7384102217,14.662534604,14.6572592491,14.3119784686,14.5386161802,14.6115544832,15.1429873661,15.2772065542,14.1907947616,14.203959456,13.7854030836,13.6957572029,14.2102278347,14.0863499711,14.004307457,14.2735055207,12.963776255,10.9732776355,10.7502461442,10.8278323647,11.2385162323,11.5679714082,13.5927463255,13.5032252961,12.6586755736,11.5654855607,9.72691498163,9.76972882852,9.63060172918,9.95603427157,10.0824716407,10.2209631354,13.42084086,13.0422503907,12.2902015825,10.8109354,9.87677644263,10.3980771821,10.2552770241,10.0067047955,13.4892780684,12.9483192893,12.6510181418,11.7439761409,11.1888751849,9.63369007468,9.84049744738,9.69275706161,13.4666853308,12.7343701655,12.5847192401,11.921632803,11.4204433963,11.5264706251,12.6138688688,12.2524860061,2597313.9542,288590.439355,289506.678666,486368.312246,301948.03304,0.500326792145,0.3019328532,11.9616352432,0.490544427925,9.40063503151,9.33638902189,9.59938546956,10.1515115391,10.4602104073,10.3004627953,10.1663956725,9.58335142338,9.59569119503,10.3026621336,11.2467655708,11.8018296979,11.6651356259,11.1448749313,10.4394521459,9.45825191295,10.0763024114,11.1061253505,12.5938066089,13.5748262593,12.6094762604,11.8128552938,10.478174299,9.49214076634,9.19477413285,10.0328290532,11.0841090305,12.6829703368,12.9533469619,10.9644496886,9.55231724697,8.56999711431,8.00449459239,7.48509351933,8.79523071424,9.61750569449,10.0190702518,10.2767123384,9.71908972724,9.7618691306,8.55743782625,7.87998761926,7.18111608842,6.61350743588,9.30160404847,9.91330989853,10.2212607178,9.60624373542,8.776180628,8.64765782143,7.79495379938,6.93536320177,8.91455995235,9.22228073433,9.61593740459,9.29510526648,8.85575476392,7.32249054542,7.00877295327,6.40558104673,8.89962925605,8.82583068538,8.9633110832,8.49103594563,7.91518531799,7.61741383825,8.16184487254,7.92801091598,16.9801829049,15.569499515,19.0667849064,22.0387079637,23.8112539737,22.9269760927,22.4991789626,18.8603207426,20.0500822058,25.2723548983,34.8806067345,41.8957142917,40.5817666908,35.4619007882,26.0219193885,18.7450706935,24.228981771,35.3412263079,60.2771703853,86.691700225,91.2886188569,68.5760600068,39.043704395,25.510591394,19.555017943,26.8531517566,46.5919478883,94.0267650803,185.27082204,196.039820564,97.6712425658,50.3407079443,27.4029523192,19.7769141937,20.4424440813,28.3692111941,46.3940201931,92.6188649118,181.430669983,197.42194234,99.9816415534,49.7027387181,26.9263575276,24.227116083,26.5010125715,41.2390290945,68.494147719,89.6964310694,94.3418257553,67.2206777372,37.8354791505,25.9584626757,20.8167559265,27.8512611179,37.4735295742,43.2064502685,46.4830301205,36.3081097967,26.6708987697,20.0300238715,21.189872277,24.0782425156,26.3778507526,25.8673967334,23.9390285326,19.9501222989,17.729397601,18.0993470902,104651.322736,0.0,0.0,11.9616352432,0.0,12.8805100952,19.9356891813,10.8571125083,19.2976638722,20.3780084801,13.8614735758,12.3882610171,11.3315016578,15.037850563,23.7398927841,30.0283343369,14.1693612308,12.6057623292,19.6781535517,30.854372105,24.2556490422,11.4641619564,12.0437017047,14.1372927181,14.6340317171,14.2018621556,12.6081751736,10.9154624854,11.6615901266,7.72802504594,3.3410770073,8.67240618955,10.8815739058,10.0376590467,11.3112489849,9.69819963109,5.99987992074,96.9049801404,67.4558931778,2.79354818725,90168.4856253,57266.6722332,92219.9528229,61423.6012119,28300.7547513,22286.5197996,18663.4689473,17895.9315807,24713.0740144,32475.2175561,36848.2881693,20780.6756314,16800.1117168,25917.2510709,37715.2958405,31608.6050234
min,24.0,2.6,0.05,0.0,13.0,0.0,-1.0,0.0,-34.299999,0.70999998,0.01,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14992.9637573,1665.88486192,72064.2887133,3819.07560576,-11418.217487,-2.1050818304,-0.194210435491,42.0,0.75,24.5837281027,24.5837281027,24.4152535369,24.0223038939,23.7884782289,23.7884782289,24.0223038939,24.4152535369,24.4152535369,23.7884782289,23.2046556448,22.8217394062,22.8217394062,23.2046556448,23.7884782289,24.4152535369,24.0223038939,23.2046556448,22.331534047,21.637256654,21.637256654,22.331534047,23.2046556448,24.0223038939,24.5837281027,23.7884782289,22.8217394062,21.637256654,20.2875926167,20.2875926167,21.637256654,22.8217394062,23.7884782289,24.5837281027,24.5837281027,23.7884782289,22.8217394062,21.637256654,20.2875926167,20.2875926167,21.637256654,22.8217394062,23.7884782289,24.5837281027,24.0223038939,23.2046556448,22.331534047,21.637256654,21.637256654,22.331534047,23.2046556448,24.0223038939,24.4152535369,23.7884782289,23.2046556448,22.8217394062,22.8217394062,23.2046556448,23.7884782289,24.4152535369,24.4152535369,24.0223038939,23.7884782289,23.7884782289,24.0223038939,24.4152535369,24.5837281027,24.5837281027,0.28732459967,0.28732459967,0.276391926938,0.252481981191,0.239247728371,0.239247728371,0.252481981191,0.276391926938,0.276391926938,0.239247728371,0.209153706104,0.191502276311,0.191502276311,0.209153706104,0.239247728371,0.276391926938,0.252481981191,0.209153706104,0.171061944598,0.145789304926,0.145789304926,0.171061944598,0.209153706104,0.252481981191,0.28732459967,0.239247728371,0.191502276311,0.145789304926,0.106846244441,0.106846244441,0.145789304926,0.191502276311,0.239247728371,0.28732459967,0.28732459967,0.239247728371,0.191502276311,0.145789304926,0.106846244441,0.106846244441,0.145789304926,0.191502276311,0.239247728371,0.28732459967,0.252481981191,0.209153706104,0.171061944598,0.145789304926,0.145789304926,0.171061944598,0.209153706104,0.252481981191,0.276391926938,0.239247728371,0.209153706104,0.191502276311,0.191502276311,0.209153706104,0.239247728371,0.276391926938,0.276391926938,0.252481981191,0.239247728371,0.239247728371,0.252481981191,0.276391926938,0.28732459967,0.28732459967,758813.064384,0.0,0.0,42.0,0.0,31.0,46.0,10.0,37.0,39.0,11.0,0.0,18.0,40.0,36.0,28.0,30.0,28.0,30.0,37.0,41.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,2.0,1.0,16707.5707425,4312.19925717,19652.5625221,15885.2177911,7379.85700837,1581.13972763,0.0,2587.3195543,5569.19024751,5459.99043874,5553.98506061,5064.85204932,4599.67920764,4946.21787335,5495.79763705,5247.67191398
25%,50.0,3.9,1.0,0.0,15.0,0.0,0.0,0.0,-15.345,2.12249995,0.01,34.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,11.0,12.0,7.25,-1.0,0.0,5.0,4.0,14.0,29.0,29.0,28.0,27.0,23.0,11.0,17.0,24.0,29.0,30.25,31.0,31.0,30.0,29.0,28.0,19.0,24.0,28.0,30.0,30.0,31.0,30.0,29.0,13.25,22.0,25.0,27.25,28.0,29.0,28.0,27.0,13.0,19.0,19.25,24.0,25.0,24.0,16.0,19.0,2234684.25902,248298.251002,257822.489889,794154.438592,263386.203304,-0.365959209301,0.260755147121,61.0,1.56,24.5837281027,24.5837281027,24.4152535369,24.0223038939,23.7884782289,23.7884782289,24.0223038939,24.4152535369,24.4152535369,23.7884782289,23.2046556448,22.8217394062,22.8217394062,23.2046556448,23.7884782289,24.4152535369,24.0223038939,23.2046556448,22.331534047,21.637256654,27.8572277906,32.3114459133,33.0858513603,29.74014484,24.5837281027,24.5007158969,27.5706107365,26.0800931801,35.2755251918,50.2634577669,48.2942758109,45.7746175026,43.7311329312,40.113006152,32.3483671274,36.6087562518,42.6087032824,48.2942758109,51.5124521482,52.2618487769,50.0714104214,47.3575746127,45.1556082671,43.3482724123,37.8837364904,42.2069550977,46.4496543907,49.1828431161,49.1828431161,48.9446323573,46.7675069663,44.8144527887,33.8325461953,40.1699445915,42.9670470758,45.1810085863,45.7746175026,46.0074149882,44.4433705991,42.9194075324,33.6673305346,37.8837364904,38.2112910047,41.5944199274,42.0421662694,40.9368196043,35.5836333876,37.5247931438,0.28732459967,0.28732459967,0.276391926938,0.252481981191,0.239247728371,0.239247728371,0.252481981191,0.276391926938,0.276391926938,0.239247728371,0.209153706104,0.191502276311,0.191502276311,0.209153706104,0.239247728371,0.276391926938,0.252481981191,0.209153706104,0.171061944598,0.145789304926,0.610552169894,1.70272530893,2.03509710283,0.944231878947,0.28732459967,0.28188475556,0.571559007805,0.405517235936,3.36939959387,106.254119483,67.519245579,37.7973846436,23.6109408449,10.2636212016,1.71726260453,4.58010701176,18.2335120435,67.519245579,142.390688826,168.339052221,101.657878494,54.4198651478,32.7763679735,21.6185838318,6.14290287877,16.6224681609,44.1535308806,82.8484354895,82.8484354895,78.4265725738,47.506244176,30.3001849121,2.42226160425,10.3990689832,19.8018017232,33.0745279052,37.7973846436,39.8787465049,27.81871466,19.5857746474,2.32666069623,6.14290287877,6.64130967365,14.4358377675,16.0035609031,12.407433621,3.61712351304,5.65560818559,912458.713699,0.0,0.0,61.0,0.0,47.0,67.0,60.0,61.0,68.0,64.0,56.0,56.0,64.0,58.0,54.0,44.0,44.0,48.0,63.0,61.0,56.0,46.0,53.0,57.0,59.25,55.0,53.0,50.0,19.0,7.0,13.0,21.0,27.0,20.0,15.0,12.0,71.25,258.0,2.0,64568.1281761,67609.7060098,71886.2702696,48847.8452907,24714.8719499,23284.5618635,21860.6826339,21983.3712988,22957.3452224,20322.3678439,19290.7029696,16390.6302077,14843.8840303,16413.6851609,22114.4626971,22751.4472485
50%,58.0,4.6,1.2,0.0,17.0,0.0,0.0,0.01,-6.6099999,9.6350002,0.01,36.0,25.0,24.0,24.0,24.0,23.5,20.0,20.5,21.0,23.5,24.0,24.0,24.0,25.0,27.0,26.0,23.0,23.0,26.0,26.0,28.0,30.0,31.0,31.0,30.0,24.0,27.0,27.0,29.0,31.0,33.0,33.0,32.0,32.0,30.0,29.0,31.0,31.0,32.0,33.0,33.0,34.0,33.0,32.0,31.0,30.0,32.0,33.0,32.5,33.0,33.0,32.0,32.0,30.0,31.0,31.0,31.0,32.0,32.0,31.0,31.0,30.0,30.0,30.0,30.0,31.0,30.0,29.0,29.0,4328122.55238,480902.505821,463148.895178,1013932.71244,478239.515282,-0.0375650872072,0.50114274806,69.0,1.78,41.4071126561,40.7600594041,40.9368196043,41.3490946395,41.2383010934,38.7454692556,38.9233439352,38.9542316762,40.6063882829,41.5944199274,42.2069550977,42.6087032824,43.4001818374,44.487231032,43.0188952633,40.2759569616,40.6560230097,43.7271390539,44.7863357463,47.4057085057,49.1828431161,48.9446323573,47.5275989445,45.5075244185,40.7600594041,43.7311329312,44.9831389475,48.2942758109,52.2618487769,54.2602397869,51.8485450318,48.9405317227,47.2923212709,44.6423789164,43.9953256643,46.5800836029,48.1490531677,50.9599777266,54.2602397869,54.2602397869,52.737112337,49.7320102778,47.2923212709,45.2894321684,45.5075244185,48.2876909226,50.6079510017,51.4042613792,51.8485450318,50.6079510017,48.2876909226,46.8936676781,44.9019954604,46.5800836029,47.5275989445,48.1490531677,48.9405317227,48.2876909226,46.5800836029,45.5628581031,44.9019954604,45.5075244185,45.867845935,45.867845935,46.2005960483,44.9019954604,43.9953256643,43.9953256643,13.8264684064,11.912583023,12.407433621,13.6429869575,13.3440774023,7.49112295798,7.82916565741,7.86001124955,11.5317350206,14.4358377675,16.6224681609,18.2335120435,21.878532266,28.1010859445,20.0396220457,10.6560364201,11.6306048542,23.5892376324,30.1046494604,55.0263682907,82.8484354895,78.4265725738,56.5926322542,35.5428658052,11.912583023,23.6109408449,31.5002423257,67.519245579,168.339052221,266.700591381,153.05746045,78.3525566818,53.6083113287,29.1231194595,25.0918432858,45.4996818886,65.2988175131,124.737711687,266.700591381,266.700591381,187.806765754,94.0158393733,53.6083113287,33.8020637779,35.5428658052,67.4169486772,115.02575702,138.897586069,153.05746045,115.02575702,67.4169486772,48.9065207455,30.917156622,45.4996818886,56.5926322542,65.2988175131,78.3525566818,67.4169486772,45.4996818886,35.9986165037,30.917156622,35.5428658052,38.617538972,38.617538972,41.6926600717,30.917156622,25.0918432858,25.0918432858,978330.734932,0.0,0.0,69.0,0.0,54.0,81.0,66.0,70.0,81.0,71.0,63.0,63.0,73.0,69.0,63.0,51.0,50.0,61.0,79.0,77.0,64.0,52.0,65.0,68.0,73.0,66.0,58.0,55.0,24.5,9.0,18.0,29.0,35.0,29.5,20.0,14.0,150.0,356.0,3.0,117656.346734,109986.720329,138300.14047,93649.0820195,48168.5597829,40687.0547134,34231.1401025,34717.3693332,42307.2837075,39020.2219371,34935.5312965,28329.7073515,29134.0860001,35720.548676,46713.864626,42701.3741481
75%,63.0,5.2,1.5,1.0,18.0,0.0625,0.06,0.02,-1.03999996,13.1875,0.01,38.0,30.0,29.0,31.0,30.0,31.0,30.0,30.0,30.0,30.0,31.0,31.0,31.0,31.0,32.0,31.0,30.0,30.0,31.0,32.0,33.0,33.0,34.0,33.0,32.0,31.0,31.0,32.0,33.0,34.0,35.0,35.0,34.0,33.0,32.0,32.0,32.0,33.0,34.0,35.0,35.0,35.0,34.0,34.0,33.0,33.0,33.75,34.0,34.0,34.0,35.0,34.0,34.0,32.0,33.0,33.0,33.0,33.0,34.0,33.0,32.0,32.0,32.0,32.0,32.0,32.75,32.0,31.0,31.0,6201465.81077,689051.756752,743484.578385,1360321.47969,728772.653693,0.204596817795,0.724453397386,79.0,2.1175,44.6423789164,43.9953256643,45.5628581031,45.5075244185,46.5800836029,45.867845935,45.5075244185,44.9019954604,44.9019954604,46.5800836029,47.5275989445,48.1490531677,48.1490531677,48.2876909226,46.5800836029,44.9019954604,45.5075244185,47.5275989445,49.7762916795,51.8485450318,51.8485450318,51.4396103239,49.0477829007,46.8936676781,45.2894321684,46.5800836029,48.9405317227,51.8485450318,55.2594352919,56.258630797,53.6256796423,50.5234888328,48.0045589388,45.9364854205,45.9364854205,47.2923212709,49.7320102778,52.737112337,56.258630797,56.258630797,53.6256796423,50.5234888328,48.7167966068,46.5835386726,47.586739308,49.6178518843,51.4396103239,52.737112337,52.737112337,52.2712696461,49.8078748788,48.2798109378,46.2237207458,48.0045589388,49.0477829007,49.7320102778,49.7320102778,49.8078748788,48.0045589388,46.2237207458,46.2237207458,46.8936676781,47.2923212709,47.2923212709,47.4134714005,46.2237207458,45.2894321684,45.2894321684,29.1231194595,25.0918432858,35.9986165037,35.5428658052,45.4996818886,38.617538972,35.5428658052,30.917156622,30.917156622,45.4996818886,56.5926322542,65.2988175131,65.2988175131,67.4169486772,45.4996818886,30.917156622,35.5428658052,56.5926322542,94.9793444954,153.05746045,153.05746045,139.303180584,80.3116021982,48.9065207455,33.8020637779,45.4996818886,78.3525566818,153.05746045,335.69396151,422.535380259,230.445357966,112.810333541,63.1620029906,39.2327311376,39.2327311376,53.6083113287,94.0158393733,187.806765754,422.535380259,422.535380259,230.445357966,112.810333541,74.4182855774,45.5358939807,57.3685576145,91.8323359051,139.303180584,187.806765754,187.806765754,168.704615588,95.6725804741,67.2947360107,41.9152513287,63.1620029906,80.3116021982,94.0158393733,94.0158393733,95.6725804741,63.1620029906,41.9152513287,41.9152513287,48.9065207455,53.6083113287,53.6083113287,55.2530483973,41.9152513287,33.8020637779,33.8020637779,1061840.24932,0.0,0.0,79.0,0.0,65.0,98.0,73.0,86.0,97.75,80.0,72.0,71.0,83.0,92.0,87.0,63.0,58.0,77.0,111.75,94.0,72.0,59.0,74.0,77.0,80.0,75.0,66.0,63.0,30.0,11.0,22.0,36.0,40.0,38.0,28.0,19.0,228.75,356.0,5.0,203373.933563,165108.899236,224913.099801,147631.83143,70044.1461743,60258.3291418,52260.9451696,52065.5643227,61576.4106039,69482.9182794,71146.7121013,47074.562353,41841.4268675,56916.8263481,79537.9970706,73335.728621
